algorithm,input_type,n,avg_time_sec
Bubble Sort,random,100,0.000362714999997138
Bubble Sort,random,500,0.009629945400001816
Bubble Sort,random,1000,0.04562156899999934
Bubble Sort,random,2000,0.1948547824000059
Bubble Sort,random,5000,N/A
Bubble Sort,random,10000,N/A
Bubble Sort,sorted,100,4.692599998179503e-06
Bubble Sort,sorted,500,3.0400600002167268e-05
Bubble Sort,sorted,1000,8.221560000265526e-05
Bubble Sort,sorted,2000,0.00014223120000167455
Bubble Sort,sorted,5000,N/A
Bubble Sort,sorted,10000,N/A
Bubble Sort,reverse_sorted,100,0.0004460534000003236
Bubble Sort,reverse_sorted,500,0.011905183399997554
Bubble Sort,reverse_sorted,1000,0.056578973199998474
Bubble Sort,reverse_sorted,2000,0.24762037500000247
Bubble Sort,reverse_sorted,5000,N/A
Bubble Sort,reverse_sorted,10000,N/A
Bubble Sort,nearly_sorted,100,0.0002196384000001217
Bubble Sort,nearly_sorted,500,0.005516108999998437
Bubble Sort,nearly_sorted,1000,0.0283198246000012
Bubble Sort,nearly_sorted,2000,0.12491641599999923
Bubble Sort,nearly_sorted,5000,N/A
Bubble Sort,nearly_sorted,10000,N/A
Selection Sort,random,100,0.00019569360000275536
Selection Sort,random,500,0.004926373399996464
Selection Sort,random,1000,0.020920451199998524
Selection Sort,random,2000,0.08514732739999716
Selection Sort,random,5000,N/A
Selection Sort,random,10000,N/A
Selection Sort,sorted,100,0.00018078479999985574
Selection Sort,sorted,500,0.004921995399996604
Selection Sort,sorted,1000,0.020690492199997836
Selection Sort,sorted,2000,0.08408548120000034
Selection Sort,sorted,5000,N/A
Selection Sort,sorted,10000,N/A
Selection Sort,reverse_sorted,100,0.0001708718000003273
Selection Sort,reverse_sorted,500,0.0050481025999971505
Selection Sort,reverse_sorted,1000,0.021869784399999048
Selection Sort,reverse_sorted,2000,0.08736530440000081
Selection Sort,reverse_sorted,5000,N/A
Selection Sort,reverse_sorted,10000,N/A
Selection Sort,nearly_sorted,100,0.00016985679999947934
Selection Sort,nearly_sorted,500,0.005048744000001193
Selection Sort,nearly_sorted,1000,0.021192505199999802
Selection Sort,nearly_sorted,2000,0.08479398659999901
Selection Sort,nearly_sorted,5000,N/A
Selection Sort,nearly_sorted,10000,N/A
Insertion Sort,random,100,0.0001842629999998735
Insertion Sort,random,500,0.0043796691999972385
Insertion Sort,random,1000,0.020591499599996156
Insertion Sort,random,2000,0.08750659480000138
Insertion Sort,random,5000,N/A
Insertion Sort,random,10000,N/A
Insertion Sort,sorted,100,1.1539000001903333e-05
Insertion Sort,sorted,500,7.612520000179756e-05
Insertion Sort,sorted,1000,0.00011704800000131855
Insertion Sort,sorted,2000,0.00023871759999849473
Insertion Sort,sorted,5000,N/A
Insertion Sort,sorted,10000,N/A
Insertion Sort,reverse_sorted,100,0.00031558600000209936
Insertion Sort,reverse_sorted,500,0.008122828200001209
Insertion Sort,reverse_sorted,1000,0.037292261000001756
Insertion Sort,reverse_sorted,2000,0.16301934739999807
Insertion Sort,reverse_sorted,5000,N/A
Insertion Sort,reverse_sorted,10000,N/A
Insertion Sort,nearly_sorted,100,3.6880800001881654e-05
Insertion Sort,nearly_sorted,500,0.0005948945999989519
Insertion Sort,nearly_sorted,1000,0.002728176800002302
Insertion Sort,nearly_sorted,2000,0.010748222999998802
Insertion Sort,nearly_sorted,5000,N/A
Insertion Sort,nearly_sorted,10000,N/A
Shell Sort,random,100,9.201880000091478e-05
Shell Sort,random,500,0.0005361910000033276
Shell Sort,random,1000,0.0014916672000026665
Shell Sort,random,2000,0.003724571200001492
Shell Sort,random,5000,0.011994155600001477
Shell Sort,random,10000,0.02970089580000206
Shell Sort,sorted,100,4.7305999999025516e-05
Shell Sort,sorted,500,0.0002768134000007194
Shell Sort,sorted,1000,0.0006902850000017225
Shell Sort,sorted,2000,0.0015680024000033655
Shell Sort,sorted,5000,0.0048945601999974995
Shell Sort,sorted,10000,0.010719719799999439
Shell Sort,reverse_sorted,100,5.804799999964416e-05
Shell Sort,reverse_sorted,500,0.00046463480000227266
Shell Sort,reverse_sorted,1000,0.0011045555999970702
Shell Sort,reverse_sorted,2000,0.0026250723999993396
Shell Sort,reverse_sorted,5000,0.007837318200003551
Shell Sort,reverse_sorted,10000,0.017104195799998934
Shell Sort,nearly_sorted,100,7.22280000019282e-05
Shell Sort,nearly_sorted,500,0.00044437160000256883
Shell Sort,nearly_sorted,1000,0.0011587536000007503
Shell Sort,nearly_sorted,2000,0.002844454200001678
Shell Sort,nearly_sorted,5000,0.009321929399999363
Shell Sort,nearly_sorted,10000,0.021578471199998717
Merge Sort,random,100,0.00017201360000456133
Merge Sort,random,500,0.0007866496000048073
Merge Sort,random,1000,0.0017753472000066495
Merge Sort,random,2000,0.0038025022000027775
Merge Sort,random,5000,0.011326667599999497
Merge Sort,random,10000,0.02325630320000016
Merge Sort,sorted,100,0.00013565979999725642
Merge Sort,sorted,500,0.0006372596000005614
Merge Sort,sorted,1000,0.0013128264000016542
Merge Sort,sorted,2000,0.002766496399999596
Merge Sort,sorted,5000,0.007400077200003352
Merge Sort,sorted,10000,0.01571306399999912
Merge Sort,reverse_sorted,100,0.00014240240000162885
Merge Sort,reverse_sorted,500,0.0006571740000026694
Merge Sort,reverse_sorted,1000,0.0013425573999995776
Merge Sort,reverse_sorted,2000,0.0027852320000022247
Merge Sort,reverse_sorted,5000,0.007655933399999526
Merge Sort,reverse_sorted,10000,0.01604611360000092
Merge Sort,nearly_sorted,100,0.0001422492000017428
Merge Sort,nearly_sorted,500,0.0007541909999986274
Merge Sort,nearly_sorted,1000,0.0016703464000016766
Merge Sort,nearly_sorted,2000,0.003454783599997313
Merge Sort,nearly_sorted,5000,0.010682499200001416
Merge Sort,nearly_sorted,10000,0.021665717999997013
